month;day;Seasonality
1;1;0.401275037
1;2;0.009172001
1;3;0.027516003
1;4;0.940130087
1;5;1.102933103
1;6;0.804843075
1;7;1.217583113
1;8;0.914907085
1;9;0.139873013
1;10;0.027516003
1;11;1.339112124
1;12;1.61656515
1;13;1.623444151
1;14;1.676183156
1;15;1.350577126
1;16;0.038981004
1;17;0.029809003
1;18;1.524845142
1;19;1.602807149
1;20;1.715164159
1;21;1.797712167
1;22;1.373507128
1;23;0.016051001
1;24;0.052739005
1;25;1.845865172
1;26;1.637202152
1;27;1.848158172
1;28;1.602807149
1;29;1.307010121
1;30;0.022930002
1;31;0.061911006
2;1;2.068286192
2;2;1.646374153
2;3;1.584463147
2;4;1.811470168
2;5;1.412488131
2;6;0.068790006
2;7;0.10547801
2;8;1.495036139
2;9;1.795419167
2;10;1.726629161
2;11;1.742680162
2;12;1.277201119
2;13;0.020637002
2;14;0.066497006
2;15;1.522552142
2;16;1.726629161
2;17;1.726629161
2;18;1.671597155
2;19;1.327647123
2;20;0.036688003
2;21;0.045860004
2;22;1.547775144
2;23;1.838986171
2;24;1.589049148
2;25;1.625737151
2;26;1.171723109
2;27;0.038981004
2;28;0.036688003
3;1;1.896311176
3;2;1.82522817
3;3;1.774782165
3;4;1.774782165
3;5;1.29554512
3;6;0.11006401
3;7;0.043567004
3;8;1.877967175
3;9;1.749559163
3;10;1.818349169
3;11;1.758731163
3;12;1.325354123
3;13;0.050446005
3;14;0.050446005
3;15;1.795419167
3;16;2.013254187
3;17;1.923827179
3;18;1.871088174
3;19;1.212997113
3;20;0.016051001
3;21;0.034395003
3;22;1.637202152
3;23;1.703699158
3;24;1.566119146
3;25;1.783954166
3;26;1.171723109
3;27;0.045860004
3;28;0.091720009
3;29;1.28637312
3;30;1.345991125
3;31;1.256564117
4;1;2.320516216
4;2;0.362294034
4;3;0.016051001
4;4;0.002293
4;5;0.208663019
4;6;1.50879414
4;7;1.593635148
4;8;1.843572171
4;9;1.309303122
4;10;0.174268016
4;11;0.036688003
4;12;1.534017143
4;13;1.60968615
4;14;1.669304155
4;15;1.715164159
4;16;1.348284125
4;17;0.066497006
4;18;0.045860004
4;19;1.481278138
4;20;1.806884168
4;21;1.451469135
4;22;1.577584147
4;23;1.174016109
4;24;0.055032005
4;25;0.034395003
4;26;1.430832133
4;27;1.641788153
4;28;1.770196165
4;29;1.921534179
4;30;1.61427215
5;1;1.057073098
5;2;0.050446005
